TIPO,RGE,VARIABLE,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
"G","CTMSG","Ren Hidro >50MW",140,140,140,140,140,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D","CUY","Demanda Neta",894,845,821,804,800,812,823,891,951,996,1025,1048,1065,1043,1015,1005,1004,1012,993,1046,1081,1054,1026,1007
"D","CUY","Perdidas",22,21,20,20,20,20,27,26,30,32,34,38,40,40,41,42,43,42,37,49,51,50,45,30
"G","CUY","Ren Hidro >50MW",341,341,341,341,341,341,268,393,393,393,393,393,394,394,394,394,399,399,486,717,717,717,687,467
"G","CUY","Ren ley 26190",102,102,101,101,101,101,105,317,566,605,604,607,606,604,603,603,595,585,487,180,103,103,102,102
"G","CUY","Termica",492,492,492,492,492,492,492,492,483,480,478,477,475,474,474,473,482,482,482,483,486,487,488,490
"D","GBA","Demanda Neta",4405,4116,3936,3918,3934,3909,4493,4973,5405,5677,5911,6041,6115,6170,6125,6038,5831,5682,5721,5994,6049,5751,5318,4879
"D","GBA","Perdidas",21,16,15,15,15,16,16,18,21,29,40,50,58,56,56,55,54,58,55,50,50,51,50,41
"G","GBA","Ren ley 26190",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"G","GBA","Termica",3122,2590,2590,2590,2590,2590,2590,2590,2922,3515,3562,3502,3537,3535,3532,3534,3543,3553,3485,3692,3694,3538,3537,3298
"D","LIT","Demanda Neta",1593,1521,1515,1522,1546,1614,1616,1694,1813,1850,1934,1949,1951,1931,1950,1946,1898,1835,1803,2008,2011,1928,1810,1698
"D","LIT","Perdidas",8,7,7,6,7,6,6,6,8,8,7,7,7,7,8,7,7,8,8,10,10,9,9,9
"G","LIT","Ren ley 26190",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"G","LIT","Termica",958,957,958,960,960,962,964,961,959,958,955,1054,1053,1099,1160,1178,1165,1053,958,1200,1209,1076,1037,962
"D","NEA","Demanda Neta",888,849,823,792,801,837,865,891,943,951,1023,1075,1090,1156,1206,1255,1222,1176,1199,1276,1261,1221,1171,1167
"D","NEA","Perdidas",17,16,14,13,13,13,14,13,15,15,17,18,19,21,23,25,26,23,24,29,30,27,24,26
"G","NEA","Ren Hidro >50MW",600,600,600,600,500,650,900,900,1000,1000,1000,1000,1000,1000,1000,1006,1000,800,1050,1100,1348,1100,850,700
"G","NEA","Ren ley 26190",63,63,63,63,63,63,68,127,164,176,181,183,183,183,181,178,171,149,92,63,63,63,63,63
"G","NEA","Termica",1,1,1,1,1,1,8,8,8,8,1,1,1,11,11,11,11,11,11,11,11,11,1,1
"D","NOA","Demanda Neta",1265,1178,1115,1074,1047,1054,1018,1084,1166,1228,1290,1382,1517,1630,1730,1739,1744,1676,1572,1631,1672,1660,1695,1702
"D","NOA","Perdidas",26,23,20,18,17,17,15,16,37,47,46,48,51,54,58,57,56,49,45,38,42,41,42,41
"G","NOA","Importacion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,48,0,0,0,0,0
"G","NOA","Ren Hidro >50MW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0
"G","NOA","Ren ley 26190",126,115,105,100,94,92,91,390,790,913,905,927,941,951,962,970,961,858,629,227,204,205,204,206
"G","NOA","Termica",717,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,714,1124,1129,1135,1138,1131
"D","PAT","Demanda Neta",828,801,784,787,786,771,773,794,812,826,832,825,826,824,825,812,804,835,815,833,870,869,863,830
"D","PAT","Perdidas",43,48,50,49,48,48,48,46,37,34,31,30,28,27,25,24,23,25,26,24,22,22,23,25
"G","PAT","Ren Hidro >50MW",190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
"G","PAT","Ren ley 26190",1392,1460,1478,1465,1443,1429,1418,1408,1221,1178,1146,1118,1080,1031,989,939,883,956,906,842,789,754,764,804
"G","PAT","Termica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,14,0,0,0
